ID,Title,Area,School,Center,Collaboration
2671,Karen Brennan,Computer Science,,,
1598,Katia Bertoldi,Materials Science & Mechanical Engineering,,"Institute for Applied Computational Science (IACS), Harvard Biodesign, Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC)","Joanna Aizenberg, Conor J Walsh, David Clarke, Zhigang Suo, Robert J. Wood, Jennifer Lewis, David Mooney, Kit Parker, Christopher Rycroft, David A. Weitz, Donald Elliot Ingber"
1577,Kit Parker,Bioengineering,,"Belfer Center for Science and Internationnal Affairs, Harvard Stem Cell Institute, Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC), Wyss Institute for Biologically Inspired Engineering","Donald Elliot Ingber, L Mahadevan, David A. Weitz, Joost J. Vlassak, Robert J. Wood, Katia Bertoldi, Zhigang Suo, David Clarke, Federico Capasso, Jennifer Lewis"
1611,Krzysztof Z Gajos,Computer Science,,"Center for Research on Computation and Society (CRCS), Mind Brain Behavior Initiative","Hanspeter Pfister, David Parkes, Stuart M. Shieber, Finale Doshi-Velez, Ariel Procaccia, Yiling Chen, Conor J Walsh, Radhika Nagpal"
1558,L Mahadevan,Applied Mathematics,Harvard Medical School,"Center for Brains, Minds and Machines, Center for Brain Science (CBS), Harvard Brain Science Initiative, Harvard Quantitative Biology (QBio), Harvard University Center for the Environment (HUCE), Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC)","David A. Weitz, Joanna Aizenberg, Kit Parker, Christopher Rycroft, Donald Elliot Ingber, Jennifer Lewis, Cengiz Pehlevan, David Mooney, Joost J. Vlassak, Robert J. Wood, Vinothan N. Manoharan"
1741,Lene V. Hau,Applied Physics,,Harvard University Center for the Environment (HUCE),
1536,Leslie G. Valiant,Computer Science,Harvard Medical School,"Center for Brains, Minds and Machines, Center for Brain Science (CBS), Harvard Brain Science Initiative, Harvard Quantum Initiative (HQI), Mind Brain Behavior Initiative, Theory of Computation",
1832,Madhu Sudan,Computer Science,,"Harvard Quantum Initiative (HQI), Theory of Computation","Salil P. Vadhan, Michael D. Mitzenmacher"
1675,Margo S Levine,Applied Mathematics,,,
2985,Marianna Katherine Linz,Environmental Science & Engineering,,,"Eli Tziperman, Steven C. Wofsy"
1541,Marko Loncar,Applied Physics,,"Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI)","Federico Capasso, Eric Mazur, Joanna Aizenberg, Amir Yacoby, Robert M. Westervelt, Michael J. Aziz, Philip Kim, Prineha Narang, Venkatesh Narayanamurti"
2724,Markus Thomas Basan,Applied Physics,,,
1532,Maurice Smith,Bioengineering,,"Center for Brain Science (CBS), Harvard Biodesign",Conor J Walsh
13586,Maxim Prigozhin,Applied Physics,,Harvard Quantitative Biology (QBio),
1525,Michael B. McElroy,Environmental Science & Engineering,"Harvard Graduate School of Design, Harvard Kennedy School of Government, Harvard T.H. Chan School of Public Health","Harvard-China Project on Energy, Economy and Environment, Harvard University Center for the Environment (HUCE)",
1526,Michael D. Mitzenmacher,Computer Science,,Theory of Computation,"Gu-Yeon Wei, David Brooks, David Parkes, Salil P. Vadhan, Hanspeter Pfister, Minlan Yu, Boaz Barak, Vijay Janapa Reddi, Madhu Sudan, Milind Tambe, Yaron Singer"
1562,Michael D. Smith,Computer Science,,,"Gu-Yeon Wei, Vijay Janapa Reddi, David Brooks, H.T. Kung, Stuart M. Shieber"
1584,Michael J. Aziz,Materials Science & Mechanical Engineering,,"Harvard University Center for the Environment (HUCE), Rowland Institute at Harvard","Eric Mazur, Daniel P. Schrag, Venkatesh Narayanamurti, Federico Capasso, Efthimios Kaxiras, David A. Weitz, Marko Loncar, Joost J. Vlassak, Cynthia Friend, Jennifer Lewis, Joanna Aizenberg"
1556,Michael P. Brenner,Applied Mathematics,,"Institute for Applied Computational Science (IACS), Harvard University Center for the Environment (HUCE), Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC), Science and Cooking",David Mooney
3141,Milind Tambe,Computer Science,"Harvard Kennedy School of Government, Harvard T.H. Chan School of Public Health","Institute for Applied Computational Science (IACS), Center for Research on Computation and Society (CRCS), EconCS Group","Ariel Procaccia, David Parkes, Finale Doshi-Velez, Michael D. Mitzenmacher, Yaron Singer, Minlan Yu"
2468,Minlan Yu,Computer Science,,,"Michael D. Mitzenmacher, Milind Tambe"
1764,Na Li,Electrical Engineering,,"Center for Research on Computation and Society (CRCS), Harvard Quantitative Biology (QBio), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE)",
3000,Nada Amin,Computer Science,,,
2624,Noel Michele Holbrook,Environmental Science & Engineering,,,
2625,Paul R Moorcroft,Environmental Science & Engineering,,,
1668,Pavlos Protopapas,Computer Science,,,"Efthimios Kaxiras, Finale Doshi-Velez"
1791,Peter John Huybers,Environmental Science & Engineering,,EconCS Group,"Jerry X. Mitrovica, Ann Pearson, Eli Tziperman, Kaighin A McColl, Steven C. Wofsy"
1799,Philip Kim,Applied Physics,,"Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI)","Amir Yacoby, Federico Capasso, Efthimios Kaxiras, Robert M. Westervelt, Marko Loncar, Radhika Nagpal"
1600,Philippe Cluzel,Applied Physics,,Harvard Quantitative Biology (QBio),
1889,Prineha Narang,Materials Science & Mechanical Engineering,,"Institute for Applied Computational Science (IACS), Center for Integrated Quantum Materials (CIQM), Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE)","Amir Yacoby, Efthimios Kaxiras, Marko Loncar"
1569,Radhika Nagpal,Computer Science,Harvard Medical School,"Embedded EthiCS, Kavli Institute for Bionano Science and Technology, Robotics at Harvard, Wyss Institute for Biologically Inspired Engineering","Robert J. Wood, David Clarke, Donald Elliot Ingber, Conor J Walsh, Philip Kim, Gu-Yeon Wei, H.T. Kung, Krzysztof Z Gajos, Hanspeter Pfister"
1765,Richard McCullough,Materials Science & Mechanical Engineering,,,
1555,Robert D. Howe,Materials Science & Mechanical Engineering,,"Harvard Biodesign, Robotics at Harvard",
1537,Robert J. Wood,Materials Science & Mechanical Engineering,,"Harvard Biodesign, Harvard University Center for the Environment (HUCE), Kavli Institute for Bionano Science and Technology, Robotics at Harvard, Wyss Institute for Biologically Inspired Engineering","Conor J Walsh, Radhika Nagpal, Gu-Yeon Wei, David Clarke, David Brooks, Katia Bertoldi, Jennifer Lewis, Joost J. Vlassak, Kit Parker, Finale Doshi-Velez, Todd Zickler, H.T. Kung, L Mahadevan"
1585,Robert M. Westervelt,Applied Physics,,"Center for Integrated Quantum Materials (CIQM), Center for Nanoscale Systems (CNS), Harvard Quantum Initiative (HQI), Rowland Institute at Harvard","Philip Kim, Efthimios Kaxiras, David A. Weitz, Donald Elliot Ingber, Marko Loncar, Amir Yacoby"
1807,Robin Wordsworth,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),
1853,Roy G. Gordon,Materials Science & Mechanical Engineering,,Materials Research Science and Engineering Center (MRSEC),
1521,Salil P. Vadhan,Computer Science,,"Institute for Applied Computational Science (IACS), Center for Research on Computation and Society (CRCS), Harvard Privacy Tools Project, Theory of Computation","Madhu Sudan, Eric Mazur, Boaz Barak, Michael D. Mitzenmacher, Yiling Chen, Cynthia Dwork, David Parkes, Stephen Chong"
1884,Samir Mitragotri,Bioengineering,,Wyss Institute for Biologically Inspired Engineering,"David Mooney, Donald Elliot Ingber"
1567,Scot T. Martin,Environmental Science & Engineering,,Harvard University Center for the Environment (HUCE),"Daniel J. Jacob, Cynthia Friend, Joost J. Vlassak"
1588,Sharad Ramanathan,Applied Physics,Harvard Medical School,"Center for Brain Science (CBS), Harvard Brain Science Initiative, Harvard Stem Cell Institute",
22051,Stephanie Gil,Computer Science,,Robotics at Harvard,James Mickens
1605,Stephen Chong,Computer Science,,"Center for Research on Computation and Society (CRCS), Embedded EthiCS, Harvard Privacy Tools Project","Elena Leah Glassman, Salil P. Vadhan, Yiling Chen"
1531,Steven C. Wofsy,Environmental Science & Engineering,,"Harvard-China Project on Energy, Economy and Environment, Harvard University Center for the Environment (HUCE)","Daniel J. Jacob, Eli Tziperman, Daniel P. Schrag, David A. Weitz, Donald Elliot Ingber, Demba Ba, Elsie M Sunderland, Marianna Katherine Linz, Peter John Huybers"
1565,Steven J. Gortler,Computer Science,,Institute for Applied Computational Science (IACS),Todd Zickler
1759,Stratos Idreos,Computer Science,,"Institute for Applied Computational Science (IACS), EconCS Group, Harvard Data Science Initiative",
1557,Stuart M. Shieber,Computer Science,,"Berkman Klein Center for Internet and Society, Center for Research on Computation and Society (CRCS), Learning Incubator (LInc)","Krzysztof Z Gajos, David Parkes, Michael D. Smith, H.T. Kung, Hanspeter Pfister"
1886,Susan A Murphy,Computer Science,,"Institute for Applied Computational Science (IACS), Radcliffe Institute for Advanced Study",Finale Doshi-Velez
1573,Tai T. Wu,Applied Physics,,,
1534,Todd Zickler,Electrical Engineering,,"Harvard Quantum Initiative (HQI), Robotics at Harvard","Steven J. Gortler, Federico Capasso, Hanspeter Pfister, Robert J. Wood, Eric Mazur"
1583,Venkatesh Narayanamurti,Applied Physics,"Harvard Kennedy School of Government, Harvard Law School, Harvard Medical School","Belfer Center for Science and Internationnal Affairs, Harvard University Center for the Environment (HUCE), Rowland Institute at Harvard","Federico Capasso, Michael J. Aziz, Marko Loncar"
2728,Vijay Janapa Reddi,Electrical Engineering,,"Center for Research on Computation and Society (CRCS), Harvard Quantum Initiative (HQI)","David Brooks, Gu-Yeon Wei, Michael D. Smith, Michael D. Mitzenmacher"
1552,Vinothan N. Manoharan,Applied Physics,,"Harvard Quantitative Biology (QBio), Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC)","Federico Capasso, David A. Weitz, David R. Nelson, Joanna Aizenberg, L Mahadevan"
1564,Woodward Yang,Electrical Engineering,"Harvard Business School, Harvard Graduate School of Design",,
1823,Xin Li,Materials Science & Mechanical Engineering,,"Harvard Quantum Initiative (HQI), Harvard University Center for the Environment (HUCE)",
1713,Yaron Singer,Computer Science,,"Institute for Applied Computational Science (IACS), Center for Research on Computation and Society (CRCS), EconCS Group, Theory of Computation","David Parkes, Milind Tambe, Michael D. Mitzenmacher"
1519,Yiling Chen,Computer Science,,"Center for Research on Computation and Society (CRCS), EconCS Group","David Parkes, Ariel Procaccia, Salil P. Vadhan, Krzysztof Z Gajos, Stephen Chong"
1651,Yue Lu,Electrical Engineering,,"Institute for Applied Computational Science (IACS), Harvard Quantum Initiative (HQI)",
1553,Zhigang Suo,Materials Science & Mechanical Engineering,,"Harvard University Center for the Environment (HUCE), Kavli Institute for Bionano Science and Technology, Materials Research Science and Engineering Center (MRSEC)","Joost J. Vlassak, David Clarke, David Mooney, Katia Bertoldi, Joanna Aizenberg, Efthimios Kaxiras, Jia Liu, David A. Weitz, Boris Kozinsky, Conor J Walsh, Kit Parker, James R. Rice"
1572,Zhiming Kuang,Environmental Science & Engineering,,"Institute for Applied Computational Science (IACS), Harvard University Center for the Environment (HUCE)",
